Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Schwim_MSP	Schwim_MHA	Längengrad	Breitengrd	GPS-Fahrge
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
-6,404024000	-1,706851000	195,784559000	-0,283204600	0,000897260	0,141136500	-2,257421100	-2,050809600	-0,398233800	1,065771300	-73,556763000	-0,061036000	-0,836193200	0,477575400	128,811032000	1,000062310	-0,366671100	-0,421603100	7,516750340	53,040616000	196,994238000
-6,610016000	-1,784671900	196,028687000	-0,080568400	0,001025440	0,199879800	-1,363302300	-1,986721800	-0,397470900	1,058905200	-73,578735000	0,048828800	-0,811778800	0,366192000	132,133134000	1,000062310	-0,162049400	-0,215608100	7,516750340	53,040616000	196,994238000
-6,495576000	-1,645815000	195,723527000	-0,002443600	0,001217710	-0,372295200	-1,111545300	-2,059965000	-0,395945100	1,052039100	-73,600707000	0,241092200	-0,927747200	-0,143425200	135,289665000	1,000062310	-0,086517900	-0,142823200	7,516750340	53,040616000	196,994238000
-6,838896000	-1,683962500	195,792188000	0,004880600	0,000961350	-0,175467000	-0,910139700	-2,005032600	-0,392893500	1,044410100	-73,617186000	0,082398600	-0,891125600	-0,625578000	138,296648000	1,000062310	-0,076904800	-0,130463500	7,516750340	53,040616000	196,994238000
-6,655792000	-1,806034500	195,883736000	0,058591400	0,000897260	0,102228600	-1,219877100	-2,139311800	-0,392893500	1,037544000	-73,639158000	0,015259000	-0,677499600	-0,497410800	141,159424000	1,000062310	-0,028839300	-0,086517900	7,516750340	53,040616000	196,994238000
-6,999112000	-1,856389200	195,654866000	-0,004885000	0,000833170	0,284561700	-2,080428300	-2,166778000	-0,392893500	1,032966600	-73,661130000	0,015259000	-0,558479400	0,469946400	143,829924000	1,000062310	-0,093384400	-0,152436300	7,516750340	53,040616000	196,994238000
-6,724456000	-1,702273300	195,479399000	-0,041506000	0,000897260	-0,321943800	-1,911064500	-2,154570800	-0,392893500	1,030677900	-73,683102000	-0,036621600	-0,329594400	-0,245653800	146,420309000	1,000062310	-0,129090200	-0,188142100	7,516750340	53,040616000	196,994238000
-6,907560000	-1,716006400	195,189497000	-0,043947400	0,000897260	0,302871300	-1,609719000	-2,175933400	-0,389079000	1,023048900	-73,705074000	0,274662000	-0,479132600	-0,013732200	148,882510000	1,000062310	-0,133210100	-0,192262000	7,516750340	53,040616000	196,994238000
-7,411096000	-1,871648200	194,754644000	-0,068361400	0,001474070	-0,273118200	-1,261073700	-2,023343400	-0,386790300	1,013894100	-73,721553000	0,173952600	-0,714121200	0,309737400	151,173799000	1,000062310	-0,151063000	-0,205995000	7,516750340	53,040616000	196,994238000
-7,136440000	-1,705325100	194,815676000	-0,051271600	0,000897260	-0,269303700	-1,750092600	-2,136260000	-0,386027400	1,002450600	-73,749018000	0,161745400	-0,875866600	0,361614600	153,406337000	1,000062310	-0,138703300	-0,196381900	7,516750340	53,040616000	196,994238000
